"Date","9.0 Pie","8.1 Oreo","6.0 Marshmallow","8.0 Oreo","7.0 Nougat","5.1 Lollipop","10.0 10","7.1 Nougat","4.4 KitKat","5.0 Lollipop","4.2 Jelly Bean","4.1 Jelly Bean","4.3 Jelly Bean","4.0 Ice Cream Sandwich","2.3 Gingerbread","Other"
2019-06,18.61,18.06,15.16,13.35,10.34,9.42,0.01,7.25,3.72,2.3,0.73,0.39,0.3,0.17,0.15,0.05
2019-07,22.56,16.87,15.02,11.49,10.09,9.2,0.01,7.3,3.59,2.33,0.63,0.34,0.28,0.13,0.13,0.03
2019-08,27.77,16.57,13.98,10.47,9.18,8.65,0.02,6.78,3.36,2.1,0.43,0.22,0.22,0.09,0.12,0.04
2019-09,32.69,16.09,13.42,9.6,8.58,7.83,0.19,6.19,2.74,1.83,0.32,0.15,0.17,0.07,0.1,0.03
2019-10,35.25,14.58,13.32,9.98,8.06,6.84,0.55,5.53,2.36,2.78,0.28,0.13,0.16,0.07,0.08,0.04
2019-11,39.22,14.35,12.07,8.69,7.9,6.68,0.96,5.46,2.35,1.6,0.27,0.12,0.17,0.06,0.06,0.04
2019-12,41.9,13.53,11.18,8.47,7.37,6.04,2.1,5.12,2.16,1.46,0.26,0.12,0.15,0.05,0.05,0.04
2020-01,41.86,12.6,10.6,8.17,7.04,5.7,4.95,4.8,2.16,1.41,0.26,0.12,0.15,0.06,0.06,0.05
2020-02,41.22,12.15,10,7.94,6.67,5.39,7.84,4.58,2.08,1.35,0.31,0.16,0.16,0.07,0.05,0.04
2020-03,38.57,11.82,9.37,7.62,6.43,5.2,12.45,4.4,2.03,1.27,0.34,0.19,0.16,0.09,0.05,0.02
2020-04,37.4,11.29,8.72,7.37,6.24,4.84,16.12,4.3,1.87,1.21,0.27,0.15,0.13,0.06,0,0.02
2020-05,34.66,11.62,8.74,7.15,6.2,4.93,18.69,4.41,1.83,1.22,0.23,0.13,0.13,0.05,0,0.02
2020-06,32.43,11.47,8.44,6.99,6.11,4.76,22.06,4.18,1.79,1.18,0.23,0.14,0.12,0.06,0,0.02
